supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat
acacia,1,1,90,100,10,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:33:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,19,A,1,1,1
acacia,1,1,90,500,410,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:12:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,19,A,1,1,1
acacia,3,1,270,300,30,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:16:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,19,B,1,1,1
acacia,3,1,137,200,63,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:12:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,19,B,1,1,1
acacia,1,1,75,80,5,cash,yes,no,no,no,no,no,no,20/05/2017,no,18:31:00,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017,18,A,1,1,1
nakumatt,22,3,5611,5611,0,card,yes,no,no,yes,yes,no,no,24/12/2016,no,16:26:00,afternoon,chain,cbd,mid,wednesday,weekday,yes,24,12,2016,16,B,0,2,1
acacia,1,1,55,100,45,cash,yes,no,no,no,no,no,no,20/05/2017,no,18:23:00,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017,18,A,1,1,1
chandarana,32,3,7955,7955,0,mpesa,yes,no,no,yes,yes,no,no,03/01/2017,yes,19:03:00,night,median,yaya,high,tuesday,weekday,no,3,1,2017,19,B,0,3,1
nakumatt,1,1,780,1000,220,cash,no,no,no,yes,no,no,no,27/03/2017,yes,19:34:00,night,chain,kilimani,high,monday,weekday,no,27,3,2017,19,A,1,1,1
acacia,1,1,235,500,265,cash,no,no,no,yes,no,no,no,15/05/2017,no,14:06:00,afternoon,small,saika,mid,monday,weekday,no,15,5,2017,14,A,1,1,1
tuskys,33,6,13005,13001,0,card,yes,no,no,yes,yes,yes,no,07/12/2016,yes,08:56:00,morning,chain,donholm,mid,wednesday,weekday,no,7,12,2016,8,B,0,0,1
nakumatt,2,1,431,500,68,cash,yes,no,yes,no,yes,no,no,23/07/2016,yes,11:17:00,morning,chain,likoni,mid,saturday,weekend,no,23,7,2016,11,A,1,1,1
nakumatt,3,1,1000,1000,0,cash,no,no,no,yes,no,no,no,20/08/2016,no,09:07:00,morning,chain,cbd,mid,saturday,weekend,yes,20,8,2016,9,B,1,1,1
uchumi,5,2,242,500,258,cash,no,no,no,no,no,yes,no,20/10/2016,no,17:41:00,afternoon,chain,makadara,mid,thursday,weekday,no,20,10,2016,17,B,1,1,1
nakumatt,1,1,2420,2460,0,card,no,no,no,no,yes,no,no,11/11/2016,yes,08:16:00,morning,chain,kilimani,high,friday,weekday,no,11,11,2016,8,A,2,4,1
nakumatt,12,2,4926,4926,0,card,yes,no,no,no,yes,no,no,11/11/2016,yes,08:44:00,morning,chain,kilimani,high,friday,weekday,no,11,11,2016,8,B,0,0,1
nakumatt,4,2,5439,5439,0,mpesa,yes,no,no,no,no,no,no,28/11/2016,yes,06:49:00,morning,chain,kilimani,high,monday,weekday,no,28,11,2016,6,B,0,2,1
nakumatt,5,1,8110,8110,0,mpesa,no,no,no,no,yes,no,no,13/01/2017,yes,17:40:00,afternoon,chain,kilimani,high,friday,weekday,no,13,1,2017,17,B,0,3,1
nakumatt,3,1,221,300,79,cash,yes,no,no,no,no,no,no,11/01/2017,yes,14:31:00,afternoon,chain,kilimani,high,wednesday,weekday,no,11,1,2017,14,B,1,1,1
nakumatt,2,1,584,1000,496,cash,yes,no,no,no,no,no,no,03/01/2017,yes,09:00:00,morning,chain,kilimani,high,tuesday,weekday,no,3,1,2017,9,A,1,1,1
nakumatt,5,1,850,850,0,card,no,no,yes,no,no,no,no,29/11/2016,yes,05:51:00,night,chain,kilimani,high,thursday,weekday,no,29,11,2016,5,B,1,1,1
acacia,1,1,90,500,410,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:10:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,14,A,1,1,1
acacia,1,1,175,205,30,cash,yes,no,no,no,no,no,no,21/05/2017,no,08:56:00,morning,small,saika,mid,sunday,weekday,no,21,5,2017,8,A,1,1,1
acacia,1,1,170,200,30,cash,no,no,yes,no,no,no,no,22/05/2017,no,13:21:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,13,A,1,1,1
acacia,1,1,55,60,5,cash,no,no,yes,no,no,no,no,22/05/2017,no,13:47:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,13,A,1,1,1
tuskys,4,1,680,1670,970,cash,no,no,no,yes,no,no,no,22/05/2017,yes,13:32:00,afternoon,chain,donholm,mid,monday,weekday,no,22,5,2017,13,B,1,1,1
tuskys,9,3,1245,1500,255,cash,yes,no,no,yes,no,yes,no,22/05/2017,yes,10:51:00,morning,chain,donholm,mid,monday,weekday,no,22,5,2017,10,B,1,1,1
naivas,1,1,800,1000,200,cash,no,no,yes,no,yes,no,no,20/05/2017,no,19:37:00,night,chain,umoja,mid,saturday,weekend,no,20,5,2017,19,A,1,1,1
naivas,1,1,95,100,5,cash,no,no,yes,no,no,no,no,19/05/2017,no,20:10:00,night,chain,umoja,mid,friday,weekday,no,19,5,2017,20,A,1,1,1
naivas,6,2,736,1000,263,cash,yes,no,yes,yes,no,no,no,21/05/2017,no,12:07:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,12,B,1,1,1
naivas,1,1,58,70,12,cash,no,no,yes,no,no,no,no,19/05/2017,no,15:16:00,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017,15,A,1,1,1
naivas,10,4,2903,2903,0,mpesa,yes,no,yes,yes,yes,yes,no,21/05/2017,no,14:21:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,14,B,3,5,1
naivas,7,2,961,1000,38,cash,yes,yes,yes,no,no,no,no,12/05/2017,no,15:46:00,afternoon,chain,umoja,mid,friday,weekday,no,12,5,2017,15,B,1,1,1
naivas,9,2,907,1000,93,cash,yes,yes,yes,yes,yes,no,no,17/05/2017,no,20:27:00,night,chain,umoja,mid,wednesday,weekday,no,17,5,2017,20,B,1,1,1
naivas,2,1,202,205,3,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:36:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,14,A,1,1,1
naivas,3,1,35,50,15,cash,no,yes,no,no,no,no,no,14/05/2017,no,18:12:00,afternoon,chain,umoja,mid,sunday,weekend,no,14,5,2017,18,B,1,1,1
naivas,1,1,45,1000,955,cash,no,no,yes,no,no,no,no,22/05/2017,no,12:23:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,12,A,1,1,1
naivas,1,1,360,1000,640,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:00:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,14,A,1,1,1
naivas,4,2,321,325,4,cash,yes,no,yes,no,no,no,no,21/05/2017,no,19:54:00,night,chain,umoja,mid,sunday,weekend,no,21,5,2017,19,B,1,1,1
naivas,2,1,253,1000,747,cash,yes,no,no,no,no,no,no,19/05/2017,no,15:50:00,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017,15,A,1,1,1
naivas,3,2,345,400,55,cash,yes,yes,yes,no,no,no,no,19/05/2017,no,19:42:00,night,chain,umoja,mid,friday,weekday,no,19,5,2017,19,B,1,1,1
naivas,1,1,60,1000,940,cash,no,no,no,yes,no,no,no,21/05/2017,no,17:54:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,17,A,1,1,1
acacia,1,1,35,35,0,cash,no,no,no,yes,no,no,no,22/05/2017,no,14:01:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,14,A,1,1,1
naivas,2,2,164,200,36,cash,no,yes,yes,no,no,no,no,21/05/2017,no,16:53:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,16,A,1,1,1
naivas,4,2,367,1000,633,cash,yes,no,yes,no,no,no,no,22/05/2017,no,14:26:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,14,B,1,1,1
naivas,2,1,330,500,170,cash,yes,no,no,no,no,no,no,21/05/2017,no,18:15:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,18,A,1,1,1
acacia,1,1,5,5,0,cash,no,yes,no,no,no,no,no,21/05/2017,no,15:51:00,afternoon,small,saika,mid,sunday,weekend,no,21,5,2017,15,A,1,1,1
naivas,2,2,239,500,261,cash,yes,no,yes,no,no,no,no,17/05/2017,no,18:14:00,afternoon,chain,umoja,mid,wednesday,weekday,no,17,5,2017,18,A,1,1,1
tuskys,3,1,638,650,14,cash,no,no,no,yes,no,no,no,21/05/2017,yes,16:01:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017,16,B,1,1,1
tuskys,3,1,720,1000,280,cash,no,no,no,no,yes,yes,no,19/05/2017,yes,12:06:00,afternoon,chain,donholm,mid,friday,weekday,no,19,5,2017,12,B,1,1,1
